ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2000-12-01,118855.09773447766,113088.19934151659,125699.65187171675,116509.44631777711,121403.37553860206,0.00316380487707977,-0.0003476568731401419,0.006608552221573053,0.00316380487707977,-0.0003476568731401419,0.006608552221573053,0.0,0.0,0.0,119231.13207235579,117947.233038
2001-01-01,118389.59999945044,112533.54605215346,124890.46543150458,116223.95040500579,120778.0217924321,0.0008789528363771608,-0.0030180823270394026,0.004802635205552515,0.0008789528363771608,-0.0030180823270394026,0.004802635205552515,0.0,0.0,0.0,118493.65887416751,117871.738398
2001-02-01,117924.10226442324,110280.6907513126,123122.51406356534,115934.1147302658,120115.44278271456,-0.008607409788722726,-0.013905771962283778,-0.0033663490034758353,-0.008607409788722726,-0.013905771962283778,-0.0033663490034758353,0.0,0.0,0.0,116909.08119226611,117885.74032000001
2001-03-01,117503.65269730189,111672.37101578095,123530.97412473391,115667.9237459075,119461.13639919889,-0.0003038337434982138,-0.002895652905076342,0.0022606581128120002,-0.0003038337434982138,-0.002895652905076342,0.0022606581128120002,0.0,0.0,0.0,117467.95112262816,117592.33184700001
2001-04-01,117038.15496227467,110387.71786482976,122254.37976053191,115354.61633713747,118801.38791600015,-0.0037352673433184306,-0.0066920569681501165,-0.0009873346576289178,-0.0037352673433184306,-0.0066920569681501165,-0.0009873346576289178,0.0,0.0,0.0,116600.98616412184,117488.116681
2001-05-01,116587.67328321608,110382.64324596614,122348.77325675286,115005.04792178239,118225.47409194322,-0.0007342719112408385,-0.003696511170004066,0.0021913799094049257,-0.0007342719112408385,-0.003696511170004066,0.0021913799094049257,0.0,0.0,0.0,116502.06622952728,116876.16599000001
2001-06-01,116122.17554818888,109313.03644605135,122233.78771964923,114502.78285653231,117613.9214850426,-0.0020883897105171616,-0.005195020429753112,0.0008700091310194157,-0.0020883897105171616,-0.005195020429753112,0.0008700091310194157,0.0,0.0,0.0,115879.66719161118,116386.29863199999
2001-07-01,115671.69386913028,110141.21413377578,121814.55723439815,114179.87284694442,117142.25210497068,-0.0008448742999108921,-0.003665101442219823,0.0018292953625068122,-0.0008448742999108921,-0.003665101442219823,0.0018292953625068122,0.0,0.0,0.0,115573.9658277531,115181.321031
2001-08-01,115206.19613410307,108993.66121591031,120845.32724001934,113707.29252060068,116678.94477936227,-0.003441640378369907,-0.006292669095178631,-0.0004597195224868242,-0.003441640378369907,-0.006292669095178631,-0.0004597195224868242,0.0,0.0,0.0,114809.69783764954,114939.37598800001
2001-09-01,114745.88502863623,109060.53346371898,120909.9377561195,113345.45778496991,116180.06595411804,-0.0012128305837546668,-0.004476349864369598,0.001663583133383192,-0.0012128305837546668,-0.004476349864369598,0.001663583133383192,0.0,0.0,0.0,114606.7177099135,114941.205511
2001-10-01,114300.42266850702,107748.20203757942,120163.2000870441,113000.77131651354,115637.07919832048,-0.0014248745512929172,-0.0041727587928917275,0.0014130335142922973,-0.0014248745512929172,-0.0041727587928917275,0.0014130335142922973,0.0,0.0,0.0,114137.55890504464,114272.76358299999
2001-11-01,113840.11156304018,108189.37715632678,120035.06017446922,112572.12592982195,115137.76824905555,0.0008288275332797009,-0.002100418044719383,0.0036627044059202403,0.0008288275332797009,-0.002100418044719383,0.0036627044059202403,0.0,0.0,0.0,113934.46538189526,114390.203842
2001-12-01,113394.64920291098,107452.60923536718,119488.16599883349,112091.96076095113,114668.49053429278,0.002437609374853953,-0.000164857295395971,0.005167756669657262,0.002437609374853953,-0.000164857295395971,0.005167756669657262,0.0,0.0,0.0,113671.06106286627,113959.99209300001
2002-01-01,112934.33809744414,106986.45102720981,118892.88543263468,111601.86284525525,114229.15199895408,0.00039681416365419127,-0.0025702119583364226,0.003235044799148549,0.00039681416365419127,-0.0025702119583364226,0.003235044799148549,0.0,0.0,0.0,112979.1520423641,112282.712858
2002-02-01,112474.0269919773,106096.49663806135,117978.40895147345,111163.98824978723,113828.7987846618,-0.006051114651266357,-0.009914528595540845,-0.0025174327543933377,-0.006051114651266357,-0.009914528595540845,-0.0025174327543933377,0.0,0.0,0.0,111793.4337593592,112359.630205
2002-03-01,112058.26212252337,105849.01739631419,117827.96225648886,110647.38167543284,113474.02477481999,-0.001421403669776758,-0.00458415211154771,0.0017126659094759756,-0.001421403669776758,-0.00458415211154771,0.0017126659094759756,0.0,0.0,0.0,111898.98209751362,111958.501965
2002-04-01,111615.41228257318,105290.79653007085,116879.11436116579,110323.05189076878,112960.35259261125,-0.00497980829011926,-0.008221122986353508,-0.0018230326646198737,-0.00497980829011926,-0.008221122986353508,-0.0018230326646198737,0.0,0.0,0.0,111059.58892718334,111369.633879
2002-05-01,111186.84792133105,105180.53807882518,116614.17161474912,109952.30890827981,112482.63473964055,-0.0004595841850836924,-0.0034287415843362768,0.002692096069101744,-0.0004595841850836924,-0.0034287415843362768,0.002692096069101744,0.0,0.0,0.0,111135.7482044371,111008.005921
2002-06-01,110743.99808138085,104625.3447531184,116388.95034246607,109547.82961523983,112037.4171518371,-0.0015483471846333638,-0.00429526063128485,0.0012048977713313316,-0.0015483471846333638,-0.00429526063128485,0.0012048977713313316,0.0,0.0,0.0,110572.5279237365,111260.231485
