ds,y
28/02/2019,19.22
01/03/2019,19.26
04/03/2019,19.3
05/03/2019,19.3
06/03/2019,19.26
07/03/2019,19.37
08/03/2019,19.52
11/03/2019,19.49
12/03/2019,19.42
13/03/2019,19.3
14/03/2019,19.33
15/03/2019,19.32
19/03/2019,19.22
20/03/2019,19
21/03/2019,18.91
22/03/2019,18.87
25/03/2019,19.14
26/03/2019,19.02
27/03/2019,19.1
28/03/2019,19.32
29/03/2019,19.38
01/04/2019,19.38
02/04/2019,19.22
03/04/2019,19.23
04/04/2019,19.18
05/04/2019,19.17
08/04/2019,19.08
09/04/2019,18.97
10/04/2019,18.92
11/04/2019,18.84
12/04/2019,18.84
15/04/2019,18.77
16/04/2019,18.85
17/04/2019,18.95
22/04/2019,18.85
23/04/2019,18.84
24/04/2019,18.96
25/04/2019,19
26/04/2019,19.09
29/04/2019,18.94
30/04/2019,19.01
02/05/2019,19.01
03/05/2019,19.1
06/05/2019,19
07/05/2019,18.98
08/05/2019,19.05
09/05/2019,19.08
10/05/2019,19.26
13/05/2019,19.14
14/05/2019,19.19
15/05/2019,19.14
16/05/2019,19.12
17/05/2019,19.07
20/05/2019,19.15
21/05/2019,19.09
22/05/2019,19.03
23/05/2019,18.98
24/05/2019,19.01
27/05/2019,19.07
28/05/2019,19.05
29/05/2019,19.17
30/05/2019,19.24
31/05/2019,19.07
03/06/2019,19.64
04/06/2019,19.76
05/06/2019,19.6
06/06/2019,19.54
07/06/2019,19.71
10/06/2019,19.65
11/06/2019,19.2
12/06/2019,19.12
13/06/2019,19.14
14/06/2019,19.16
17/06/2019,19.15
18/06/2019,19.19
19/06/2019,19.1
20/06/2019,19.18
21/06/2019,18.98
24/06/2019,19.07
25/06/2019,19.18
26/06/2019,19.23
27/06/2019,19.14
28/06/2019,19.17
01/07/2019,19.21
02/07/2019,19.08
03/07/2019,19.07
04/07/2019,19.05
05/07/2019,18.99
08/07/2019,19.04
09/07/2019,18.91
10/07/2019,19
11/07/2019,19.24
12/07/2019,19.12
15/07/2019,19.03
16/07/2019,18.98
17/07/2019,19.08
18/07/2019,19.02
19/07/2019,19.01
22/07/2019,19.01
23/07/2019,19.07
24/07/2019,19.13
25/07/2019,19.09
26/07/2019,19.06
29/07/2019,19.07
30/07/2019,19.09
31/07/2019,19.07
01/08/2019,18.99
02/08/2019,19.16
05/08/2019,19.31
06/08/2019,19.57
07/08/2019,19.63
08/08/2019,19.7
09/08/2019,19.51
12/08/2019,19.43
13/08/2019,19.58
14/08/2019,19.46
15/08/2019,19.58
16/08/2019,19.64
19/08/2019,19.57
20/08/2019,19.82
21/08/2019,19.75
22/08/2019,19.68
23/08/2019,19.75
26/08/2019,19.84
27/08/2019,19.91
28/08/2019,19.99
29/08/2019,20.03
30/08/2019,20.1
02/09/2019,20.07
03/09/2019,20.13
04/09/2019,20
05/09/2019,19.78
06/09/2019,19.68
09/09/2019,19.56
10/09/2019,19.54
11/09/2019,19.54
12/09/2019,19.55
13/09/2019,19.43
17/09/2019,19.37
18/09/2019,19.43
19/09/2019,19.35
20/09/2019,19.4
23/09/2019,19.45
24/09/2019,19.45
25/09/2019,19.46
26/09/2019,19.58
27/09/2019,19.64
30/09/2019,19.68
01/10/2019,19.73
02/10/2019,19.78
03/10/2019,19.8
04/10/2019,19.74
07/10/2019,19.53
08/10/2019,19.55
09/10/2019,19.58
10/10/2019,19.57
11/10/2019,19.48
14/10/2019,19.32
15/10/2019,19.27
16/10/2019,19.25
17/10/2019,19.21
18/10/2019,19.16
21/10/2019,19.15
22/10/2019,19.14
23/10/2019,19.11
24/10/2019,19.13
25/10/2019,19.09
28/10/2019,19.08
29/10/2019,19.05
30/10/2019,19.12
31/10/2019,19.16
01/11/2019,19.19
04/11/2019,19.11
05/11/2019,19.15
06/11/2019,19.21
07/11/2019,19.2
08/11/2019,19.13
11/11/2019,19.11
12/11/2019,19.11
13/11/2019,19.22
14/11/2019,19.45
15/11/2019,19.42
19/11/2019,19.21
20/11/2019,19.37
21/11/2019,19.48
22/11/2019,19.41
25/11/2019,19.4
26/11/2019,19.45
27/11/2019,19.52
28/11/2019,19.56
29/11/2019,19.61
02/12/2019,19.54
03/12/2019,19.57
04/12/2019,19.57
05/12/2019,19.47
06/12/2019,19.37
09/12/2019,19.32
